1,trawnik,lawn
12,roślina,plant
13,ławka,bank
14,krzak,bush
15,kwiat,flower
16,trawa,grass
17,robak,bug
18,ptak,bird
19,drzewo,tree
20,motyl,butterfly
21,mucha,fly
